folio,trim,unidad,region,ciudad,punto,turno,a1,a2,a3,a3_1,a3_1_1a,a3_1_1n,a3_1_2a,a3_1_2n,a4,a4_1,a5,a5_1,a6,a7,a8,a9,a9_1_1,a9_1_2,a9_1_3,a9_2,a9_3,a10,a10_1,a11_1,a11_1_1,a11_2,a11_2_1,a11_3,a11_3_1,a11_4,a11_4_1,a11_5,a11_5_1,a11_6,a11_6_1,a12p,a12e,a12m,a12u,a13,a14,a14_1e,a14_1m,a14_1u,a14_1u_b,a14_2es,a14_2cn,a15c,a15t,b1,b1_1,b1_2,b2,b3,b4_1,b4_2,b4_3,b4_4,b5,b5_1_1,b5_1_2,b6,b6_1,b7_1,b7_2,b7_3,b7_4,b7_5,b7_6,b8_1,b8_2,b8_3,b8_4,b8_5,b8_6,b8_7,b8_8,b8_1_1,b8_1_2,b8_1_3,b8_1_4,b8_1_5,b8_1_6,b8_1_7,b8_1_8,c1,c2c,c2u,c2_1,c3,c4,c4_1,c4_2,c4_3,c4_3_1_1,c4_3_1_2,c4_3_1_3,c4_3_1_4,c4_4_1,c4_4_2,c4_4_3,c4_4_4,c4_4_5,c4_4_6,c4_4_7,c4_4_8,c4_4_1c,c4_4_1u,c4_5_1,c4_5_2,c4_5_3,c4_5_4,c4_6c,c4_6t,c4_7,c4_8,d1,d2,d3,d4,d4_1,d4_1_1,d4_2,d5_0_1,d5_0_2,d5_0_3,d5_0_4,d5_0_5,d5_0_6,d5_0_7,d5_0_8,d5_0_9,d5_0_10,d5_0_11,d5_1_1,d5_1_1_1,d5_1_2,d5_1_2_1,d5_3,d6,d6_1,d6_2c,d6_2u,d6_3,d7,d8,e1,e1_1,e2,e2_1,e2_1_1c,e2_1_1t,e3_1,e4,e5,e6,e6_1,e7,e8,e9c,e9u,e9t,e10,e11,f1,f1_1,f2,f2_1,f3,f5,f6,f7,f8,f8_1,f9,f10,f11c,f11u,f11t,f12,f13,f14,f15,f16,f17,f18,f19,f19_1c,f19_1t,f19_2,f19_3,g1es,g1cn,g1cd,g2es,g2cn,g3,g4,g5,g6_1,g6_2,g6_3,g6_4,g6_1_1,g6_1_2,g6_1_3,g6_1_4,g6_1_5,g6_1_6,g6_1_7,g7,g7_1,g8,g8_1,g8_1_1_1,g8_1_1_2,g8_1_1_3,g8_1_1_4,g8_1_1_5,g8_1_2,g8_1_2_1_1,g8_1_2_1_2,g8_1_2_1_3,g8_1_2_1_4,g8_1_2_1_5,g9_1,g9_2,g9_3,g10,g10_1,g10_1c,g10_1t,g11c,g11t,g12_1,g12_2,g12_3,g12_4,g12_5,g12_6,g12_7,g12_8,h1,h1_1,h1_1_1,h1_1_2_1,h1_1_2_2,h1_1_3,i1_1,i1_2,i1_3,i1_4,i1_5,i2,i2_1,i2_1_1,i2_2,i2_3_1,i2_3_2,i2_3_3,i2_3_4,i2_3_5,i2_4,j1,j2,j2_1_1,j2_1_2,j2_1_3,j2_1_4,j2_1_5,j2_1_6,j3_1,j3_2,j3_3,j3_4,j4_1,j4_2,j4_3,k1,k1_1_1,k1_1_2,k1_1_3,k1_1_4,k1_1_5,k1_1_6,k1_1_7,k1_1_8,k1_1_9,k1_1_10,k2_1,k2_2,k2_3,l1,l1_1,l1_1_1,l1_2,l1_2_1e,l1_2_1m,l1_2_1u,l1_3,l2,l3,l3_1,oficio_mx,oficio_eua,nivel,filtro,estrato,upm,ponfin3
27902,1,132002,2,1,7,2,1,36,1,1,2,3,-4,-4,-4,1,2,2,6,2,5,7,3,4,0,2,1,1,-8,1,-9,1,-10,1,-11,1,-12,1,-13,1,-14,1,12,12028,2,1,-16,-16,-16,-16,2,-16,-16,4,6,1,-20,-20,2017,1,2,2,2,2,1,1,96,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,10,923,2,2,2,-50,8,6,1400,2,3,3,2,3,236,2,2,-51,1,1,4,400,6,48,48113,4811319000,48,48119,2,4,2,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,1,2,1,1,998,98,1,5,2,2,1,1,1,2,2,2,1,2,4,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,2,1,-76,-76,-76,1,1,2,6,-2,2,5,1,21072,21072132002,68.199073
28803,1,172003,2,1,7,2,1,41,1,1,3,2,-4,-4,-4,1,2,2,6,2,5,6,3,3,0,2,1,1,-8,1,-9,1,-10,1,-11,1,-12,1,-13,1,-14,1,10,10007,2,1,-16,-16,-16,-16,2,-16,-16,5,6,1,-20,-20,2015,1,2,2,2,2,1,1,96,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,15,962,2,2,2,-50,8,6,800,2,3,3,2,2,722,2,1,2,2,-52,-52,-52,-52,48,48201,4820135000,48,48201,2,3,2,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,1,2,1,1,998,98,1,5,2,2,1,1,1,2,2,2,1,2,4,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,2,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,2,1,-76,-76,-76,1,2,2,5,-2,5,4,1,21072,21072172003,68.199073
28903,1,172003,2,1,7,2,1,38,1,1,3,2,-4,-4,-4,1,2,2,6,2,5,7,4,3,0,2,1,1,-8,1,-9,1,-10,1,-11,1,-12,1,-13,1,-14,1,32,32010,2,1,-16,-16,-16,-16,2,-16,-16,4,6,1,-20,-20,2017,1,2,2,2,2,1,1,96,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,15,923,2,2,2,-50,8,6,780,2,3,3,2,3,236,2,2,-51,1,1,4,350,6,48,48113,4811319000,48,48439,2,3,2,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,1,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,1,2,1,1,998,98,1,5,2,2,1,1,1,1,2,2,1,2,4,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,1,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,2,1,-76,-76,-76,1,1,2,5,-2,2,4,1,21072,21072172003,68.199073
29003,1,172003,2,1,7,2,1,35,1,1,2,2,-4,-4,-4,1,2,1,6,1,5,6,3,3,0,2,1,1,-8,1,-9,1,-10,1,-11,1,-12,1,-13,1,-14,1,11,11004,2,1,-16,-16,-16,-16,2,-16,-16,2,6,1,-20,-20,2018,1,2,2,2,2,1,1,96,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,13,524,2,2,2,-50,8,6,800,2,3,3,1,2,561,2,1,2,1,1,4,400,5,48,48113,4811319000,48,48439,2,3,3,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,1,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,1,2,1,1,998,98,1,5,2,2,1,1,1,2,2,2,2,2,4,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,1,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,2,1,-76,-76,-76,1,2,2,7,-2,5,3,1,21072,21072172003,68.199073
38902,1,182002,2,1,7,2,1,40,1,1,1,2,-4,-4,-4,1,2,2,6,2,1,3,1,1,0,1,2,2,1,1,-9,1,-10,0,-11,1,-12,1,-13,2,2,1,7,7113,97,1,-16,-16,-16,-16,97,-16,-16,6,5,1,-20,-20,2019,1,2,2,2,2,2,-21,-21,2,-22,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,2,4500,2,1,1,280140001,4,1,2,-27,-27,-27,-27,2,2,2,2,2,2,2,2,-28,-28,2,2,2,2,2,2,-29,4,1,0,0,0,-30,-30,-30,2,2,2,2,2,2,2,2,2,2,2,-32,-32,-32,-32,-32,1,2,2500,2,1,2,2,2,1,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,-45,1,-47,1,712,2,2,2,-50,8,5,0,0,0,3,2,2,238,1,2,-51,1,999,99,400,2,48,48113,4811319000,48,48113,2,3,1,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,2,2,-64,-64,-64,7,2,2,2,2,2,2,2,2,2,2,2,1,-66,-66,-66,1,2,2,1,2,2,-69,-69,-69,-69,-69,-69,-69,-69,-69,2,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,2,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,731,996,996,2,2,2,1,-76,-76,-76,1,2,1,6,-1,3,3,1,21072,21072182002,68.199073
40002,1,182002,2,1,7,2,1,25,1,1,2,2,-4,-4,-4,1,2,2,2,2,6,5,2,3,0,2,2,2,2,0,-9,0,-10,0,-11,1,-12,1,-13,3,2,1,24,24028,2,1,-16,-16,-16,-16,2,-16,-16,3,2,1,-20,-20,2019,1,2,2,2,2,2,-21,-21,2,-22,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,2,16800,1,1,1,280330291,2,1,2,-27,-27,-27,-27,2,2,2,2,2,2,2,2,-28,-28,2,2,2,2,2,2,-29,3,2,0,1,0,-30,-30,-30,2,2,2,2,2,2,2,2,2,2,2,-32,-32,-32,-32,-32,2,-36,-36,-36,-36,2,2,2,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,-52,-52,-52,-52,48,48029,4802905384,48,48029,2,3,2,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,2,2,-64,-64,-64,3,3,2,2,2,2,2,2,2,2,2,2,2,-66,-66,-66,2,2,2,2,2,2,-69,-69,-69,-69,-69,-69,-69,-69,-69,2,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,2,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,411,996,999,2,2,2,1,-76,-76,-76,1,1,1,7,-1,-1,3,1,21072,21072182002,68.199073
40701,1,212001,2,1,7,2,1,38,1,1,3,2,-4,-4,-4,1,2,2,6,2,5,6,3,3,0,2,1,1,-8,1,-9,1,-10,1,-11,1,-12,1,-13,1,-14,1,9,9014,2,1,-16,-16,-16,-16,2,-16,-16,3,6,1,-20,-20,2017,1,2,2,2,2,2,-21,-21,1,3,2,1,1,1,1,1,2,2,1,1,1,1,2,2,98,98,98,98,98,98,98,98,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,13,962,2,2,2,-50,8,6,800,2,3,3,2,3,722,2,2,-51,1,1,4,300,5,48,48201,4820135000,48,48199,2,3,3,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,1,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,1,2,1,1,998,98,1,5,2,2,1,1,1,2,2,2,1,2,4,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,1,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,2,1,-76,-76,-76,1,1,2,6,-2,5,4,1,21072,21072212001,68.199073
40801,1,212001,2,1,7,2,1,31,1,1,3,5,-4,-4,-4,1,2,2,6,2,5,5,3,2,0,2,1,1,-8,1,-9,1,-10,1,-11,1,-12,1,-13,1,-14,1,11,11004,2,1,-16,-16,-16,-16,2,-16,-16,4,6,1,-20,-20,2016,1,2,2,2,2,2,-21,-21,1,3,2,1,1,1,1,1,2,2,2,1,1,2,2,2,98,98,98,98,98,98,98,98,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,3,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,-52,-52,-52,-52,48,48113,4811319000,48,48113,2,3,3,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,1,2,1,1,998,98,1,5,2,2,2,1,1,1,2,2,1,2,4,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,1,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,2,1,-76,-76,-76,1,1,2,6,-2,-1,6,1,21072,21072212001,68.199073
40901,1,212001,2,1,7,2,1,35,1,1,3,2,-4,-4,-4,1,2,2,6,2,5,6,3,3,0,3,1,1,-8,1,-9,1,-10,1,-11,1,-12,1,-13,1,-14,1,32,32056,2,1,-16,-16,-16,-16,2,-16,-16,3,6,1,-20,-20,2017,1,2,2,2,2,2,-21,-21,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,10,524,2,2,2,-50,8,6,750,2,3,3,2,3,561,2,2,-51,1,1,4,350,5,48,48113,4811319000,48,48113,2,3,3,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,1,2,1,1,998,98,1,5,2,2,1,1,1,2,2,2,1,2,4,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,1,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,2,1,-76,-76,-76,1,1,2,6,-2,5,4,1,21072,21072212001,68.199073
41301,1,212001,2,1,7,2,1,22,1,1,2,2,-4,-4,-4,1,2,2,6,2,6,5,2,3,0,2,2,2,2,0,-9,0,-10,0,-11,1,-12,1,-13,1,-14,1,22,22015,97,1,-16,-16,-16,-16,97,-16,-16,2,6,1,-20,-20,2017,1,2,2,2,2,2,-21,-21,2,-22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,1,524,1,2,2,-50,7,5,9999999,99,99,3,2,4,561,2,2,-51,2,-52,-52,-52,-52,48,48225,4822538884,48,48201,2,3,2,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,1,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,1,1,4,998,98,3,5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,998,998,98,98,98,98,98,99998,98,98,98,98,98,-2,5,3,1,21072,21072212001,68.199073
41401,1,212001,2,1,7,2,1,39,1,1,3,6,-4,-4,-4,1,2,2,3,2,4,3,0,1,2,1,1,2,2,2,1,0,-10,0,-11,1,-12,1,-13,0,-14,1,28,28011,97,2,2,-17,-17,-17,-17,48,48113,6,6,3,1,2012,2013,1,1,1,1,2,2,-21,-21,1,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,1,531,1,1,1,1,8,6,380,2,3,1,2,4,512,2,2,-51,2,-52,-52,-52,-52,48,48113,4811329000,48,48113,2,1,4,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,7,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,1,1,1,2,998,98,2,5,2,2,1,1,1,2,2,2,1,2,1,-66,-66,-66,2,2,2,2,2,2,-69,-69,-69,-69,-69,-69,-69,-69,-69,2,2,-71,-71,-71,-71,-71,-71,1,2,2,2,2,97,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,1,-74,-74,-74,-74,-74,-74,-74,1,3,-77,-2,5,7,1,21072,21072212001,68.199073
41501,1,212001,2,1,7,2,1,24,1,1,5,1,-3,-3,1,1,1,1,6,97,6,1,-7,-7,-7,-7,-7,-7,-7,0,-9,0,-10,0,-11,0,-12,1,-13,0,-14,1,8,8013,97,2,1,19,19013,97,97,-19,-19,1,5,1,-20,-20,2019,1,2,2,2,2,2,-21,-21,2,-22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,2,5000,1,2,1,280330291,4,1,2,-27,-27,-27,-27,2,2,1,2,2,2,2,2,100,1,2,2,2,2,1,2,-29,0,2,1,1,3,0,-31,0,1,1,2,2,2,1,2,1,2,1,2,-34,-34,7,2,5,1,2,5000,1,2,2,2,1,-37,1,-39,-39,-39,834,2,2,2,-44,8,4,9999999,99,99,3,722,2,1,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,-52,-52,-52,-52,48,48113,4811319000,48,48113,2,3,2,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,1,1,4,998,98,1,5,2,1,1,1,1,1,2,2,1,2,2,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,2,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,2,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,263,996,996,2,2,2,2,-76,-76,-76,1,1,2,6,5,-1,1,1,21072,21072212001,68.199073
45901,1,242001,2,1,7,2,1,23,1,1,2,2,-4,-4,-4,1,2,2,2,2,6,3,0,3,0,0,2,2,2,0,-9,0,-10,0,-11,1,-12,1,-13,1,-14,1,11,11004,2,1,-16,-16,-16,-16,2,-16,-16,3,2,1,-20,-20,2019,1,2,2,2,2,2,-21,-21,2,-22,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,2,16800,1,1,1,280270001,3,2,2,-27,-27,-27,-27,2,2,2,2,2,2,2,2,-28,-28,2,2,2,2,2,2,-29,2,2,0,1,1,0,-31,0,2,2,2,2,2,2,2,2,2,2,2,-32,-32,-32,-32,-32,1,1,15000,1,3,2,2,2,1,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,1,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,-52,-52,-52,-52,48,48479,4847941464,48,48113,2,5,1,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,2,2,-64,-64,-64,3,2,2,2,2,2,2,2,2,2,2,2,1,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,2,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,2,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,999,999,999,2,2,1,2,-76,-76,-76,2,2,2,7,-1,-1,3,1,21072,21072242001,68.199073
46001,1,242001,2,1,7,2,1,22,1,1,2,2,-4,-4,-4,1,2,2,2,2,6,6,1,4,1,2,1,2,2,1,-9,1,-10,1,-11,1,-12,1,-13,1,-14,1,10,10005,2,1,-16,-16,-16,-16,2,-16,-16,4,3,1,-20,-20,2019,1,2,2,2,2,2,-21,-21,2,-22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,2,15700,1,1,1,280270001,2,2,2,-27,-27,-27,-27,2,2,2,2,2,2,2,2,-28,-28,2,2,2,2,2,2,-29,2,3,1,1,1,0,-31,0,2,2,2,2,2,2,2,2,2,2,2,-32,-32,-32,-32,-32,2,-36,-36,-36,-36,2,2,2,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,-52,-52,-52,-52,48,48201,4820135000,48,48201,2,3,4,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,2,2,-64,-64,-64,4,3,2,2,2,2,2,2,2,2,2,2,3,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,2,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,2,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,999,999,999,2,2,2,1,-76,-76,-76,1,1,2,7,-1,-1,3,1,21072,21072242001,68.199073
46101,1,242001,2,1,7,2,1,35,1,1,3,2,-4,-4,-4,1,2,2,3,2,1,3,1,2,0,1,1,2,1,1,-9,1,-10,1,-11,1,-12,1,-13,1,-14,1,24,24028,2,1,-16,-16,-16,-16,2,-16,-16,5,3,1,-20,-20,2019,1,2,2,2,2,2,-21,-21,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,2,16800,1,1,1,280270001,3,2,2,-27,-27,-27,-27,2,2,2,2,2,2,1,2,300,1,2,2,2,2,3,2,-29,4,1,1,1,0,-30,-30,-30,2,2,2,2,2,2,2,2,2,2,2,-32,-32,-32,-32,-32,2,-36,-36,-36,-36,2,2,2,2,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,2,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,-52,-52,-52,-52,48,48113,4811319000,48,48113,2,2,1,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,2,2,-64,-64,-64,5,3,2,2,2,2,2,2,2,2,2,2,3,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,2,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,2,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,712,996,996,2,2,2,1,-76,-76,-76,1,1,1,2,-1,-1,4,1,21072,21072242001,68.199073
